E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_17_756.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_17_756.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_17_756.jpg, 0, 0, 0, 7.832587E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_17_966.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_17_966.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_17_966.jpg, 0, 0, 0, 7.887583E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_067.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_067.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_067.jpg, 0, 0, 0, 7.964025E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_200.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_200.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_200.jpg, 0, 0, 0, 7.813378E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_326.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_326.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_326.jpg, 0, 0, 0, 7.813385E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_435.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_435.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_435.jpg, 0, 0, 0, 8.080869E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_538.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_538.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_538.jpg, 0, 0, 0, 7.869808E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_645.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_645.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_645.jpg, 0, 0, 0, 8.153349E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_743.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_743.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_743.jpg, 0, 0, 0, 7.825075E-05
E:\Machine Learning\simulator-windows-64\Data\IMG\center_2024_04_14_14_51_18_880.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\left_2024_04_14_14_51_18_880.jpg, E:\Machine Learning\simulator-windows-64\Data\IMG\right_2024_04_14_14_51_18_880.jpg, 0, 0, 0, 7.965145E-05
